,name_x,rating_x,district,niche_grade_x,stu_number,ratio,name_y,rating_y,city,niche_grade_y,number_school,number_student
0,Meadow Glens Elementary School,#1 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,494,15:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
1,Barbara B. Rose Elementary School,#2 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,436,13:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
2,Grove Avenue Elementary School,#3 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,520,15:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
3,Ellsworth Elementary School,#4 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,258,14:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
4,Steeple Run Elementary School,#5 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,629,16:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
5,Ranch View Elementary School,#6 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,556,17:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
6,Highlands Elementary School,#7 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,518,17:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
7,Mill Street Elementary School,#8 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,632,14:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
8,Oliver Julian Kendall Elementary School,#9 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,368,15:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
9,Kingsley Elementary School,#10 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,479,16:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
10,River Woods Elementary School,#11 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,516,17:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
11,Danielle-Joy Peterson Elementary School,#12 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,671,18:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
12,Fry Elementary School,#13 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,599,18:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
13,Roslyn Road Elementary School,#14 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,455,14:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
14,Prairie Elementary School,#15 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,509,15:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
15,Arnett C. Lines Elementary School,#16 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,456,14:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
16,Naper Elementary School,#17 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,241,15:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
17,Bannockburn School,#18 Best Public Elementary Schools in Chicago Area,BANNOCKBURN,grade A+,145,7:1,,,,,,
18,Scott Elementary School,#19 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,462,17:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
19,Fairview South Elementary School,#20 Best Public Elementary Schools in Chicago Area,SKOKIE,grade A+,716,11:1,,,,,,
20,Robert Clow Elementary School,#21 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,357,14:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
21,Elmwood Elementary School,#22 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,660,16:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
22,The Joseph Sears School,#23 Best Public Elementary Schools in Chicago Area,KENILWORTH,grade A+,471,9:1,,,,,,
23,Hough Street Elementary School,#24 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,283,15:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
24,North Barrington Elementary School,#25 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,475,14:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
25,Maplebrook Elementary School,#26 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,543,19:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
26,Spring Brook Elementary School,#27 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,592,15:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
27,Countryside Elementary School,#28 Best Public Elementary Schools in Chicago Area,Barrington Community Unit School District No. 220,grade A+,417,13:1,Barrington Community Unit School District No. 220,#9 Best School Districts in Chicago Area,"BARRINGTON, IL",grade A+,12.0,8557.0
28,Hawthorne Elementary School,#29 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A+,228,12:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
29,Beebe Elementary School,#30 Best Public Elementary Schools in Chicago Area,Naperville Community Unit School District No. 203,grade A+,584,15:1,Naperville Community Unit School District No. 203,#7 Best School Districts in Chicago Area,"NAPERVILLE, IL",grade A+,22.0,16586.0
30,Longfellow Elementary School,#31 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A+,381,15:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
31,Patterson Elementary School,#32 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,507,14:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
32,Thomas Dooley Elementary School,#33 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A+,483,15:1,,,,,,
33,May Watts Elementary School,#34 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A+,642,17:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
34,Shabonee School,#35 Best Public Elementary Schools in Chicago Area,Northbrook Elementary School District No. 27,grade A+,436,12:1,,,,,,
35,Campanelli Elementary School,#36 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A+,562,18:1,,,,,,
36,Elm Elementary School,#37 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A+,294,12:1,,,,,,
37,Fairview Elementary School,#38 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A+,558,17:1,,,,,,
38,East Prairie Elementary School,#39 Best Public Elementary Schools in Chicago Area,SKOKIE,grade A+,528,12:1,,,,,,
39,Middlefork Primary School,#40 Best Public Elementary Schools in Chicago Area,Sunset Ridge School District No. 29,grade A+,207,11:1,,,,,,
40,Lincoln Prairie School,#41 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A+,405,14:1,,,,,,
41,The Lane Elementary School,#42 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A+,329,12:1,,,,,,
42,White Eagle Elementary School,#43 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,562,16:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
43,Hoover Math & Science Academy,#44 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,729,15:1,,,,,,
44,Lincoln Elementary School,#45 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,460,13:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
45,Wayne Builta Elementary School,#46 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,320,13:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
46,Emerson Elementary School,#47 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,309,14:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
47,Madison Elementary School,#48 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A,461,15:1,,,,,,
48,Walker School,#49 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A,284,11:1,,,,,,
49,Nancy Young Elementary School,#50 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,631,15:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
50,Michael Collins Elementary School,#51 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,790,15:1,,,,,,
51,Prospect Elementary School,#52 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A,369,14:1,,,,,,
52,Owen Elementary School,#53 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,553,15:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
53,Pleasant Hill Elementary School,#54 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,602,14:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
54,Oak Grove Elementary School,#55 Best Public Elementary Schools in Chicago Area,LIBERTYVILLE,grade A,929,12:1,,,,,,
55,Washington Elementary School,#56 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,404,14:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
56,Arlene Welch Elementary School,#57 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,602,15:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
57,STEM Partnership School,#58 Best Public Elementary Schools in Chicago Area,AURORA,grade A,188,63:1,,,,,,
58,Graham Elementary School,#59 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,284,15:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
59,Avoca West Elementary School,#60 Best Public Elementary Schools in Chicago Area,Avoca School District No. 37,grade A,445,10:1,,,,,,
60,Willowbrook Elementary School,#61 Best Public Elementary Schools in Chicago Area,Northbrook-Glenview School District No. 30,grade A,403,12:1,,,,,,
61,Adolph Link Elementary School,#62 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,617,15:1,,,,,,
62,Winston Churchill Elementary School,#63 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,685,16:1,,,,,,
63,Frederick Nerge Elementary School,#64 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,674,15:1,,,,,,
64,Buzz Aldrin Elementary School,#65 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,485,12:1,,,,,,
65,Brook Forest Elementary School,#66 Best Public Elementary Schools in Chicago Area,Butler School District No. 53,grade A,287,10:1,,,,,,
66,Gwendolyn Brooks Elementary School,#67 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,606,17:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
67,Monroe Elementary School,#68 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A,335,13:1,,,,,,
68,Greeley Elementary School,#69 Best Public Elementary Schools in Chicago Area,Winnetka School District No. 36,grade A,282,11:1,,,,,,
69,Madison Elementary School,#70 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,472,15:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
70,Oak Elementary School,#71 Best Public Elementary Schools in Chicago Area,Hinsdale Community Consolidated School District No. 181,grade A,376,15:1,,,,,,
71,Wescott Elementary School,#72 Best Public Elementary Schools in Chicago Area,Northbrook-Glenview School District No. 30,grade A,413,12:1,,,,,,
72,Wild Rose Elementary School,#73 Best Public Elementary Schools in Chicago Area,St. Charles Community Unit School District No. 303,grade A,508,16:1,St. Charles Community Unit School District No. 303,#21 Best School Districts in Chicago Area,"SAINT CHARLES, IL",grade A+,17.0,12248.0
73,Half Day School,#74 Best Public Elementary Schools in Chicago Area,Lincolnshire-Prairieview School District No. 103,grade A,648,14:1,,,,,,
74,Earl Pritchett School,#75 Best Public Elementary Schools in Chicago Area,Aptakisic-Tripp Community Consolidated School District No. 102,grade A,488,12:1,,,,,,
75,Brookdale Elementary School,#76 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,488,16:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
76,Dwight D. Eisenhower Elementary School,#77 Best Public Elementary Schools in Chicago Area,Crown Point Community School Corporation,grade A,642,16:1,Crown Point Community School Corporation,#30 Best School Districts in Chicago Area,"CROWN POINT, IN",grade A,10.0,8795.0
77,Frank H. Hammond Elementary School,#78 Best Public Elementary Schools in Chicago Area,School Town of Munster,grade A,682,23:1,School Town of Munster,#26 Best School Districts in Chicago Area,"MUNSTER, IN",grade A+,5.0,4206.0
78,Solon Robinson Elementary School,#79 Best Public Elementary Schools in Chicago Area,Crown Point Community School Corporation,grade A,562,19:1,Crown Point Community School Corporation,#30 Best School Districts in Chicago Area,"CROWN POINT, IN",grade A,10.0,8795.0
79,Everett Dirksen Elementary School,#80 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,562,14:1,,,,,,
80,Hawthorne Elementary School,#81 Best Public Elementary Schools in Chicago Area,Elmhurst School District No. 205,grade A,515,15:1,Elmhurst School District No. 205,#13 Best School Districts in Chicago Area,"ELMHURST, IL",grade A+,13.0,8596.0
81,Mary Lou Cowlishaw Elementary School,#82 Best Public Elementary Schools in Chicago Area,Indian Prairie Community Unit School District No. 204,grade A,675,14:1,Indian Prairie Community Unit School District No. 204,#12 Best School Districts in Chicago Area,"AURORA, IL",grade A+,33.0,26906.0
82,Emerson Elementary School,#83 Best Public Elementary Schools in Chicago Area,Elmhurst School District No. 205,grade A,453,14:1,Elmhurst School District No. 205,#13 Best School Districts in Chicago Area,"ELMHURST, IL",grade A+,13.0,8596.0
83,Whittier Elementary School,#84 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,450,16:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
84,Nathan Hale Elementary School,#85 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,484,12:1,,,,,,
85,Meridian Middle School,#86 Best Public Elementary Schools in Chicago Area,Aptakisic-Tripp Community Consolidated School District No. 102,grade A,644,14:1,,,,,,
86,Central Elementary School,#87 Best Public Elementary Schools in Chicago Area,Riverside School District No. 96,grade A,397,14:1,,,,,,
87,Macarthur Intrntl Spanish Academy,#88 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,437,15:1,,,,,,
88,South Park Elementary School,#89 Best Public Elementary Schools in Chicago Area,Deerfield School District No. 109,grade A,464,12:1,,,,,,
89,Forest Road Elementary School,#90 Best Public Elementary Schools in Chicago Area,LaGrange School District No. 102,grade A,542,13:1,,,,,,
90,Central Elementary School,#91 Best Public Elementary Schools in Chicago Area,Wilmette School District No. 39,grade A,435,13:1,,,,,,
91,Tripp School,#92 Best Public Elementary Schools in Chicago Area,Aptakisic-Tripp Community Consolidated School District No. 102,grade A,565,14:1,,,,,,
92,Dewey Elementary School,#93 Best Public Elementary Schools in Chicago Area,Evanston Community Consolidated School District No. 65,grade A,462,14:1,,,,,,
93,Sarah Adams Elementary School,#94 Best Public Elementary Schools in Chicago Area,Lake Zurich Community Unit School District No. 95,grade A,360,12:1,Lake Zurich Community Unit School District No. 95,#22 Best School Districts in Chicago Area,"LAKE ZURICH, IL",grade A+,8.0,5565.0
94,Kildeer Countryside Elementary School,#95 Best Public Elementary Schools in Chicago Area,Kildeer Countryside Community Consolidated School District No. 96,grade A,495,14:1,,,,,,
95,Bell-Graham Elementary School,#96 Best Public Elementary Schools in Chicago Area,St. Charles Community Unit School District No. 303,grade A,440,15:1,St. Charles Community Unit School District No. 303,#21 Best School Districts in Chicago Area,"SAINT CHARLES, IL",grade A+,17.0,12248.0
96,Romona Elementary School,#97 Best Public Elementary Schools in Chicago Area,Wilmette School District No. 39,grade A,532,12:1,,,,,,
97,Bower Elementary School,#98 Best Public Elementary Schools in Chicago Area,Community Unit School District No. 200,grade A,441,12:1,Community Unit School District No. 200,#15 Best School Districts in Chicago Area,"WHEATON, IL",grade A+,20.0,12319.0
98,Jackson Elementary School,#99 Best Public Elementary Schools in Chicago Area,Elmhurst School District No. 205,grade A,457,14:1,Elmhurst School District No. 205,#13 Best School Districts in Chicago Area,"ELMHURST, IL",grade A+,13.0,8596.0
99,Gower West Elementary School,#100 Best Public Elementary Schools in Chicago Area,Gower School District No. 62,grade A,507,15:1,,,,,,
100,Norton Creek Elementary School,#101 Best Public Elementary Schools in Chicago Area,St. Charles Community Unit School District No. 303,grade A,472,14:1,St. Charles Community Unit School District No. 303,#21 Best School Districts in Chicago Area,"SAINT CHARLES, IL",grade A+,17.0,12248.0
101,Neil Armstrong Elementary School,#102 Best Public Elementary Schools in Chicago Area,Schaumburg Community Consolidated School District No. 54,grade A,484,11:1,,,,,,
102,Forest Hills Elementary School,#103 Best Public Elementary Schools in Chicago Area,Western Springs School District No. 101,grade A,299,12:1,,,,,,
103,Cossitt Avenue Elementary School,#104 Best Public Elementary Schools in Chicago Area,LaGrange School District No. 102,grade A,498,14:1,,,,,,
104,West School,#105 Best Public Elementary Schools in Chicago Area,Glencoe School District No. 35,grade A,288,14:1,,,,,,
105,Clarence E. Culver School,#106 Best Public Elementary Schools in Chicago Area,NILES,grade A,642,12:1,,,,,,
106,Cherokee Elementary School,#107 Best Public Elementary Schools in Chicago Area,Lake Forest School District No. 67,grade A,313,11:1,,,,,,
107,Ivy Hall Elementary School,#108 Best Public Elementary Schools in Chicago Area,Kildeer Countryside Community Consolidated School District No. 96,grade A,465,11:1,,,,,,
